Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Total,Date,Payment,Rating
Central,Chennai,Normal,Female,"Eggs, Meat & Fish",209.0,9,94.05,1881,1975.05,12/26/2015,Ewallet,5.3
East,Virudhunagar,Normal,Female,Fruits & Veggies,1486.0,1,74.3,1486,1560.3,07-12-2018,Credit card,6.3
East,Namakkal,Normal,Male,Food Grains,200.86,7,70.3,1406,1476.3,11-03-2017,Credit card,8.9
East,Trichy,Member,Male,Fruits & Veggies,263.6,5,65.9,1318,1383.9,5/22/2017,Credit card,8.9
East,Chennai,Member,Female,"Eggs, Meat & Fish",148.5,8,59.4,1188,1247.4,11/18/2015,Credit card,6.3
West,Kanyakumari,Member,Male,Fruits & Veggies,620.0,4,124.0,2480,2604.0,08-12-2018,Cash,6.8
Central,Ramanadhapuram,Normal,Male,Food Grains,240.43,7,84.15,1683,1767.15,9/17/2018,Ewallet,5.8
West,Madurai,Member,Female,Food Grains,442.6,5,110.65,2213,2323.65,12/29/2015,Credit card,9.6
South,Nagercoil,Member,Female,Snacks,196.6,5,49.15,983,1032.15,3/18/2015,Cash,4.7
West,Chennai,Member,Female,"Eggs, Meat & Fish",82.22,9,37.0,740,777.0,12-07-2016,Credit card,9.6
Central,Krishnagiri,Member,Female,Food Grains,98.33,9,44.25,885,929.25,04-04-2016,Credit card,8.1
West,Theni,Normal,Male,Oil & Masala,185.33,9,83.4,1668,1751.4,10-01-2018,Ewallet,7.2
South,Perambalur,Member,Female,Fruits & Veggies,276.67,6,83.0,1660,1743.0,11/28/2017,Credit card,4.2
South,Nagercoil,Normal,Female,Food Grains,88.5,6,26.55,531,557.55,9/22/2017,Ewallet,6.9
West,Salem,Member,Male,Snacks,299.4,5,74.85,1497,1571.85,02-06-2018,Ewallet,6.4
East,Chennai,Member,Female,Snacks,210.89,9,94.9,1898,1992.9,11/24/2015,Ewallet,5.0
East,Karur,Member,Female,Food Grains,234.25,8,93.7,1874,1967.7,6/21/2015,Cash,7.9
West,Kanyakumari,Member,Female,Bakery,177.71,7,62.2,1244,1306.2,04-08-2017,Cash,9.8
East,Pudukottai,Member,Female,Fruits & Veggies,225.57,7,78.95,1579,1657.95,7/15/2018,Ewallet,7.4
West,Coimbatore,Member,Female,"Eggs, Meat & Fish",99.17,6,29.75,595,624.75,1/22/2018,Credit card,8.3
Central,Vellore,Normal,Male,"Eggs, Meat & Fish",206.4,5,51.6,1032,1083.6,5/29/2018,Ewallet,4.4
South,Madurai,Member,Male,Snacks,383.25,4,76.65,1533,1609.65,1/17/2016,Credit card,6.5
West,Vellore,Normal,Female,Bakery,202.33,3,30.35,607,637.35,3/30/2018,Ewallet,4.7
East,Krishnagiri,Normal,Female,Beverages,258.0,3,38.7,774,812.7,12-01-2018,Credit card,7.7
West,Vellore,Normal,Female,Oil & Masala,396.83,6,119.05,2381,2500.05,7/21/2018,Cash,9.6
East,Tenkasi,Member,Female,"Eggs, Meat & Fish",426.75,4,85.35,1707,1792.35,11/14/2015,Credit card,8.0
East,Bodi,Member,Female,Oil & Masala,399.83,6,119.95,2399,2518.95,05-03-2016,Ewallet,4.5
South,Vellore,Member,Female,Beverages,746.33,3,111.95,2239,2350.95,1/13/2015,Cash,6.1
West,Dharmapuri,Member,Female,Food Grains,517.25,4,103.45,2069,2172.45,09-08-2016,Credit card,7.3
Central,Dindigul,Normal,Female,Snacks,136.44,9,61.4,1228,1289.4,5/23/2018,Credit card,6.4
Central,Perambalur,Member,Female,Bakery,422.2,5,105.55,2111,2216.55,04-05-2017,Credit card,9.0
West,Krishnagiri,Member,Female,Beverages,217.14,7,76.0,1520,1596.0,1/13/2015,Credit card,8.9
East,Ramanadhapuram,Normal,Female,Snacks,1062.5,2,106.25,2125,2231.25,04-12-2018,Credit card,7.7
South,Pudukottai,Normal,Male,Fruits & Veggies,158.6,5,39.65,793,832.65,10/20/2018,Cash,6.2
Central,Krishnagiri,Normal,Male,Snacks,149.56,9,67.3,1346,1413.3,04-02-2016,Cash,5.5
Central,Kanyakumari,Member,Male,"Eggs, Meat & Fish",336.67,3,50.5,1010,1060.5,07-03-2018,Cash,4.6
West,Viluppuram,Member,Female,Food Grains,137.56,9,61.9,1238,1299.9,3/13/2018,Cash,6.1
East,Ooty,Normal,Male,Oil & Masala,189.83,6,56.95,1139,1195.95,12-04-2018,Ewallet,6.5
West,Viluppuram,Member,Male,"Eggs, Meat & Fish",608.0,4,121.6,2432,2553.6,11-03-2017,Cash,8.1
Central,Karur,Member,Female,Fruits & Veggies,88.71,7,31.05,621,652.05,12-12-2017,Credit card,7.9
Central,Karur,Member,Male,Beverages,129.5,8,51.8,1036,1087.8,05-02-2017,Credit card,4.4
South,Viluppuram,Member,Female,"Eggs, Meat & Fish",324.83,6,97.45,1949,2046.45,1/13/2015,Cash,6.4
Central,Dindigul,Member,Male,Beverages,350.0,5,87.5,1750,1837.5,11/24/2017,Credit card,5.1
Central,Nagercoil,Member,Male,Snacks,274.83,6,82.45,1649,1731.45,1/14/2018,Cash,4.9
East,Nagercoil,Normal,Female,Snacks,495.0,5,123.75,2475,2598.75,6/19/2018,Credit card,9.0
South,Karur,Normal,Male,Fruits & Veggies,262.12,8,104.85,2097,2201.85,12-02-2018,Ewallet,4.3
South,Karur,Normal,Male,Bakery,805.0,1,40.25,805,845.25,10/22/2017,Ewallet,6.5
East,Ramanadhapuram,Member,Female,Bakery,212.86,7,74.5,1490,1564.5,11-12-2017,Cash,5.0
Central,Krishnagiri,Member,Female,Snacks,472.5,2,47.25,945,992.25,5/29/2018,Cash,9.3
East,Viluppuram,Member,Male,Food Grains,91.44,9,41.15,823,864.15,11/17/2015,Cash,7.3
South,Krishnagiri,Normal,Female,"Eggs, Meat & Fish",889.0,1,44.45,889,933.45,6/23/2016,Credit card,5.4
East,Kanyakumari,Normal,Male,Oil & Masala,270.33,6,81.1,1622,1703.1,11/13/2017,Cash,7.0
Central,Chennai,Member,Male,Oil & Masala,66.67,9,30.0,600,630.0,10/28/2018,Ewallet,8.4
South,Tirunelveli,Normal,Female,"Eggs, Meat & Fish",556.0,1,27.8,556,583.8,11/23/2018,Credit card,9.7
South,Kanyakumari,Member,Female,Snacks,271.75,4,54.35,1087,1141.35,8/19/2015,Cash,5.3
Central,Krishnagiri,Normal,Female,Food Grains,204.0,4,40.8,816,856.8,9/21/2018,Credit card,9.3
East,Tirunelveli,Normal,Female,Beverages,69.11,9,31.1,622,653.1,9/15/2018,Credit card,9.6
West,Virudhunagar,Normal,Female,Fruits & Veggies,491.4,5,122.85,2457,2579.85,3/19/2016,Cash,9.5
South,Coimbatore,Normal,Female,Snacks,246.8,5,61.7,1234,1295.7,3/17/2015,Credit card,7.8
West,Bodi,Normal,Male,Food Grains,409.83,6,122.95,2459,2581.95,9/26/2017,Ewallet,7.8
West,Karur,Member,Female,Food Grains,2171.0,1,108.55,2171,2279.55,11-03-2017,Ewallet,6.4
West,Dindigul,Normal,Male,Snacks,2461.0,1,123.05,2461,2584.05,6/24/2018,Credit card,8.5
East,Ooty,Member,Male,"Eggs, Meat & Fish",71.89,9,32.35,647,679.35,3/13/2017,Cash,7.2
West,Krishnagiri,Normal,Male,Fruits & Veggies,364.33,3,54.65,1093,1147.65,12/29/2015,Credit card,8.1
Central,Namakkal,Normal,Male,Food Grains,190.0,4,38.0,760,798.0,2/15/2016,Ewallet,6.6
West,Bodi,Normal,Female,Bakery,920.0,1,46.0,920,966.0,10/31/2015,Credit card,8.4
East,Theni,Member,Female,Food Grains,157.67,9,70.95,1419,1489.95,7/28/2017,Credit card,8.9
West,Ooty,Normal,Female,"Eggs, Meat & Fish",250.5,8,100.2,2004,2104.2,4/19/2017,Ewallet,4.9
East,Tenkasi,Normal,Male,Oil & Masala,1041.0,2,104.1,2082,2186.1,12-09-2018,Credit card,9.0
East,Vellore,Normal,Male,Oil & Masala,295.62,8,118.25,2365,2483.25,4/14/2018,Credit card,7.2
West,Tenkasi,Member,Male,Snacks,277.57,7,97.15,1943,2040.15,9/25/2016,Cash,9.1
South,Ramanadhapuram,Member,Male,Fruits & Veggies,272.17,6,81.65,1633,1714.65,12-06-2015,Cash,6.6
East,Dindigul,Member,Female,Fruits & Veggies,2035.0,1,101.75,2035,2136.75,06-05-2017,Ewallet,6.3
West,Ooty,Member,Female,Snacks,318.57,7,111.5,2230,2341.5,12-12-2015,Ewallet,9.5
Central,Trichy,Normal,Female,"Eggs, Meat & Fish",351.29,7,122.95,2459,2581.95,7/29/2018,Ewallet,5.5
South,Kanyakumari,Member,Male,Fruits & Veggies,203.0,9,91.35,1827,1918.35,05-01-2018,Cash,9.1
East,Salem,Normal,Female,Snacks,1562.0,1,78.1,1562,1640.1,11/19/2015,Ewallet,6.9
Central,Krishnagiri,Member,Female,Food Grains,826.5,2,82.65,1653,1735.65,12-11-2016,Ewallet,7.1
West,Tirunelveli,Member,Female,Oil & Masala,263.33,9,118.5,2370,2488.5,11/17/2015,Ewallet,5.9
Central,Salem,Normal,Female,Beverages,88.56,9,39.85,797,836.85,6/20/2015,Cash,7.4
East,Nagercoil,Normal,Male,Snacks,85.0,6,25.5,510,535.5,10-06-2018,Credit card,6.0
South,Chennai,Member,Male,Oil & Masala,169.0,6,50.7,1014,1064.7,10/21/2015,Ewallet,4.2
West,Vellore,Normal,Male,Snacks,588.75,4,117.75,2355,2472.75,06-08-2018,Credit card,5.6
West,Karur,Normal,Female,Bakery,433.75,4,86.75,1735,1821.75,2/18/2018,Ewallet,4.0
South,Cumbum,Member,Male,"Eggs, Meat & Fish",440.6,5,110.15,2203,2313.15,9/18/2016,Credit card,9.9
West,Nagercoil,Normal,Male,Food Grains,256.67,3,38.5,770,808.5,10/21/2017,Cash,9.8
West,Vellore,Normal,Male,Beverages,1511.0,1,75.55,1511,1586.55,05-03-2018,Cash,6.4
West,Vellore,Normal,Male,Beverages,2009.0,1,100.45,2009,2109.45,11-02-2018,Ewallet,8.4
West,Tenkasi,Member,Female,Snacks,113.57,7,39.75,795,834.75,8/16/2017,Credit card,6.1
West,Pudukottai,Normal,Female,Beverages,867.0,1,43.35,867,910.35,12-12-2015,Cash,8.0
South,Krishnagiri,Member,Male,Beverages,1721.0,1,86.05,1721,1807.05,10/16/2018,Ewallet,8.8
West,Pudukottai,Member,Male,Food Grains,357.0,3,53.55,1071,1124.55,4/13/2018,Ewallet,9.7
East,Coimbatore,Member,Female,Bakery,198.0,4,39.6,792,831.6,11/27/2016,Cash,6.4
East,Virudhunagar,Member,Male,Fruits & Veggies,180.25,4,36.05,721,757.05,11/19/2015,Cash,8.7
Central,Salem,Normal,Male,Snacks,530.5,2,53.05,1061,1114.05,07-09-2015,Ewallet,5.6
West,Tirunelveli,Normal,Male,Fruits & Veggies,2044.0,1,102.2,2044,2146.2,4/18/2015,Credit card,9.9
Central,Virudhunagar,Normal,Male,Beverages,813.33,3,122.0,2440,2562.0,07-02-2018,Credit card,4.2
Central,Chennai,Member,Female,Oil & Masala,126.5,4,25.3,506,531.3,6/19/2018,Credit card,7.6
Central,Dharmapuri,Member,Female,Bakery,796.33,3,119.45,2389,2508.45,06-12-2016,Ewallet,8.0
Central,Nagercoil,Member,Male,Oil & Masala,88.5,8,35.4,708,743.4,4/15/2017,Cash,8.1
South,Salem,Normal,Male,Bakery,1013.0,1,50.65,1013,1063.65,9/18/2018,Ewallet,4.7
East,Virudhunagar,Member,Female,"Eggs, Meat & Fish",270.0,2,27.0,540,567.0,08-11-2016,Cash,9.6
Central,Cumbum,Normal,Female,"Eggs, Meat & Fish",211.71,7,74.1,1482,1556.1,11/29/2016,Credit card,5.1
West,Bodi,Normal,Female,Oil & Masala,324.0,4,64.8,1296,1360.8,2/20/2018,Credit card,7.7
South,Ramanadhapuram,Member,Female,Bakery,71.0,8,28.4,568,596.4,10/20/2018,Cash,5.3
East,Salem,Normal,Male,Snacks,623.0,3,93.45,1869,1962.45,04-06-2015,Cash,5.8
West,Dharmapuri,Member,Male,"Eggs, Meat & Fish",256.0,6,76.8,1536,1612.8,06-02-2017,Ewallet,7.3
Central,Dindigul,Normal,Female,Oil & Masala,78.22,9,35.2,704,739.2,12-05-2016,Credit card,6.5
West,Ramanadhapuram,Normal,Male,Beverages,1534.0,1,76.7,1534,1610.7,8/26/2017,Ewallet,5.0
Central,Cumbum,Member,Female,Oil & Masala,2023.0,1,101.15,2023,2124.15,10-02-2017,Ewallet,5.0
East,Dharmapuri,Member,Female,Oil & Masala,233.62,8,93.45,1869,1962.45,8/26/2017,Ewallet,6.5
East,Dharmapuri,Normal,Female,Fruits & Veggies,564.67,3,84.7,1694,1778.7,8/25/2015,Credit card,8.5
West,Ramanadhapuram,Normal,Male,Fruits & Veggies,350.4,5,87.6,1752,1839.6,11/17/2016,Ewallet,9.4
South,Pudukottai,Member,Female,Snacks,814.0,1,40.7,814,854.7,05-01-2017,Ewallet,4.5
West,Krishnagiri,Normal,Male,Bakery,186.2,5,46.55,931,977.55,9/18/2016,Ewallet,6.4
West,Ooty,Normal,Female,Snacks,222.0,6,66.6,1332,1398.6,4/24/2017,Ewallet,4.6
West,Kanyakumari,Normal,Female,Fruits & Veggies,301.62,8,120.65,2413,2533.65,02-05-2018,Ewallet,4.1
Central,Tenkasi,Member,Male,Fruits & Veggies,616.67,3,92.5,1850,1942.5,11/26/2018,Ewallet,8.0
South,Virudhunagar,Normal,Female,Beverages,299.67,3,44.95,899,943.95,3/21/2016,Credit card,7.6
South,Trichy,Normal,Female,Food Grains,210.22,9,94.6,1892,1986.6,4/20/2016,Ewallet,5.0
West,Chennai,Member,Male,Beverages,275.0,4,55.0,1100,1155.0,6/20/2017,Cash,5.4
Central,Pudukottai,Member,Male,Oil & Masala,580.5,4,116.1,2322,2438.1,03-08-2017,Ewallet,4.1
East,Dharmapuri,Normal,Male,Oil & Masala,168.29,7,58.9,1178,1236.9,7/19/2015,Ewallet,9.0
East,Namakkal,Member,Male,Beverages,1116.5,2,111.65,2233,2344.65,12/27/2018,Credit card,9.8
West,Madurai,Normal,Male,Beverages,164.0,8,65.6,1312,1377.6,12-02-2018,Credit card,4.8
South,Madurai,Member,Female,Snacks,219.67,6,65.9,1318,1383.9,12/23/2017,Cash,5.4
Central,Perambalur,Member,Male,Bakery,634.67,3,95.2,1904,1999.2,7/26/2015,Cash,9.2
West,Bodi,Normal,Male,Bakery,259.22,9,116.65,2333,2449.65,09-07-2018,Credit card,9.6
South,Dindigul,Member,Female,Bakery,150.4,5,37.6,752,789.6,08-06-2018,Credit card,6.5
Central,Coimbatore,Normal,Male,Bakery,308.75,8,123.5,2470,2593.5,09-02-2017,Ewallet,4.3
West,Virudhunagar,Member,Female,Beverages,148.0,7,51.8,1036,1087.8,12/22/2018,Credit card,4.2
Central,Karur,Normal,Male,Beverages,182.12,8,72.85,1457,1529.85,09-05-2017,Cash,7.4
South,Karur,Member,Male,Fruits & Veggies,87.86,7,30.75,615,645.75,4/16/2016,Ewallet,6.4
East,Kanyakumari,Member,Female,Oil & Masala,744.67,3,111.7,2234,2345.7,12/24/2018,Cash,4.2
West,Tenkasi,Normal,Female,"Eggs, Meat & Fish",1078.5,2,107.85,2157,2264.85,6/17/2015,Ewallet,7.5
West,Bodi,Member,Female,Oil & Masala,133.86,7,46.85,937,983.85,11/16/2016,Credit card,4.1
Central,Viluppuram,Normal,Female,Snacks,341.33,3,51.2,1024,1075.2,11-07-2016,Cash,8.7
Central,Karur,Member,Female,Oil & Masala,301.33,3,45.2,904,949.2,4/21/2018,Ewallet,5.8
East,Chennai,Normal,Male,Bakery,302.5,2,30.25,605,635.25,2/24/2018,Ewallet,4.2
West,Madurai,Member,Male,"Eggs, Meat & Fish",131.75,4,26.35,527,553.35,3/13/2018,Credit card,7.5
West,Pudukottai,Normal,Female,"Eggs, Meat & Fish",234.75,8,93.9,1878,1971.9,5/27/2015,Credit card,6.4
East,Pudukottai,Member,Female,Fruits & Veggies,1893.0,1,94.65,1893,1987.65,09-04-2017,Credit card,9.8
West,Vellore,Member,Female,Snacks,2220.0,1,111.0,2220,2331.0,7/21/2017,Cash,7.3
West,Vellore,Member,Male,Oil & Masala,477.2,5,119.3,2386,2505.3,10/24/2017,Ewallet,5.7
East,Karur,Member,Male,Snacks,288.4,5,72.1,1442,1514.1,9/30/2015,Credit card,8.3
Central,Bodi,Normal,Female,Oil & Masala,690.0,1,34.5,690,724.5,08-07-2018,Cash,5.6
West,Pudukottai,Member,Male,Beverages,181.17,6,54.35,1087,1141.35,08-01-2016,Cash,9.4
East,Virudhunagar,Normal,Female,Bakery,632.0,1,31.6,632,663.6,12-02-2017,Cash,6.2
Central,Kanyakumari,Member,Female,"Eggs, Meat & Fish",166.2,5,41.55,831,872.55,11/22/2016,Credit card,7.3
East,Virudhunagar,Member,Male,"Eggs, Meat & Fish",105.67,9,47.55,951,998.55,03-08-2016,Credit card,4.3
West,Tenkasi,Normal,Female,Snacks,439.6,5,109.9,2198,2307.9,12/24/2016,Ewallet,6.6
West,Karur,Normal,Female,Snacks,193.5,6,58.05,1161,1219.05,11/14/2018,Ewallet,9.0
West,Viluppuram,Member,Male,"Eggs, Meat & Fish",154.25,8,61.7,1234,1295.7,2/26/2018,Credit card,8.8
South,Karur,Member,Female,Beverages,1722.0,1,86.1,1722,1808.1,12-08-2017,Cash,5.3
West,Nagercoil,Member,Female,Beverages,709.5,2,70.95,1419,1489.95,08-04-2017,Cash,5.4
East,Pudukottai,Normal,Female,Fruits & Veggies,188.11,9,84.65,1693,1777.65,1/25/2017,Cash,8.9
Central,Salem,Normal,Male,Oil & Masala,410.0,3,61.5,1230,1291.5,10/24/2016,Ewallet,9.6
West,Nagercoil,Member,Female,Oil & Masala,197.17,6,59.15,1183,1242.15,5/19/2018,Cash,4.6
East,Nagercoil,Normal,Male,Bakery,405.8,5,101.45,2029,2130.45,4/25/2017,Ewallet,6.7
West,Viluppuram,Normal,Male,Oil & Masala,1130.0,2,113.0,2260,2373.0,8/31/2016,Ewallet,6.0
Central,Dharmapuri,Normal,Female,"Eggs, Meat & Fish",253.14,7,88.6,1772,1860.6,02-11-2015,Cash,9.2
South,Virudhunagar,Normal,Male,Snacks,321.25,4,64.25,1285,1349.25,10/21/2017,Cash,4.5
Central,Ooty,Member,Male,Food Grains,1934.0,1,96.7,1934,2030.7,07-11-2018,Credit card,5.3
West,Tenkasi,Member,Female,Beverages,558.5,4,111.7,2234,2345.7,9/20/2017,Credit card,8.5
West,Pudukottai,Member,Female,Bakery,166.17,6,49.85,997,1046.85,10/13/2018,Cash,4.3
Central,Theni,Member,Female,Beverages,262.29,7,91.8,1836,1927.8,9/19/2015,Ewallet,7.0
Central,Dharmapuri,Normal,Female,Oil & Masala,286.86,7,100.4,2008,2108.4,03-03-2017,Ewallet,6.7
West,Kanyakumari,Normal,Male,Bakery,285.71,7,100.0,2000,2100.0,3/24/2017,Ewallet,6.0
West,Cumbum,Member,Male,"Eggs, Meat & Fish",770.0,3,115.5,2310,2425.5,10/19/2018,Ewallet,6.4
East,Trichy,Member,Male,Fruits & Veggies,357.83,6,107.35,2147,2254.35,05-07-2017,Ewallet,7.2
West,Bodi,Member,Female,Oil & Masala,248.25,8,99.3,1986,2085.3,7/17/2017,Credit card,5.0
East,Coimbatore,Normal,Female,Food Grains,193.75,4,38.75,775,813.75,03-10-2018,Cash,7.4
East,Madurai,Member,Female,Snacks,198.5,8,79.4,1588,1667.4,06-12-2018,Credit card,8.8
Central,Theni,Normal,Female,Fruits & Veggies,1078.0,2,107.8,2156,2263.8,07-12-2015,Ewallet,8.6
East,Namakkal,Member,Male,Oil & Masala,178.0,9,80.1,1602,1682.1,1/22/2017,Ewallet,4.9
East,Theni,Member,Female,Snacks,122.44,9,55.1,1102,1157.1,04-03-2018,Ewallet,4.9
West,Bodi,Normal,Male,"Eggs, Meat & Fish",162.38,8,64.95,1299,1363.95,01-10-2017,Ewallet,5.6
Central,Kanyakumari,Normal,Female,Bakery,1937.0,1,96.85,1937,2033.85,03-03-2017,Cash,6.2
West,Perambalur,Member,Male,Bakery,1162.0,2,116.2,2324,2440.2,9/29/2015,Ewallet,6.5
West,Ramanadhapuram,Normal,Female,Oil & Masala,384.67,6,115.4,2308,2423.4,04-01-2015,Cash,8.1
West,Virudhunagar,Normal,Male,Beverages,482.0,5,120.5,2410,2530.5,11/15/2015,Ewallet,4.3
East,Ramanadhapuram,Normal,Male,"Eggs, Meat & Fish",271.0,9,121.95,2439,2560.95,10/21/2017,Cash,4.2
South,Nagercoil,Member,Male,Bakery,445.8,5,111.45,2229,2340.45,10-02-2018,Credit card,6.4
Central,Cumbum,Normal,Female,"Eggs, Meat & Fish",609.5,2,60.95,1219,1279.95,8/15/2018,Ewallet,8.2
South,Namakkal,Member,Female,Food Grains,318.25,4,63.65,1273,1336.65,09-05-2017,Cash,5.2
Central,Theni,Normal,Male,Snacks,251.22,9,113.05,2261,2374.05,02-11-2015,Credit card,7.8
West,Dharmapuri,Member,Male,Bakery,711.0,1,35.55,711,746.55,11/14/2016,Ewallet,5.6
West,Krishnagiri,Member,Female,Fruits & Veggies,703.0,1,35.15,703,738.15,7/19/2017,Ewallet,9.3
East,Kanyakumari,Member,Male,Beverages,196.71,7,68.85,1377,1445.85,5/21/2015,Ewallet,9.4
Central,Cumbum,Normal,Female,Snacks,751.0,3,112.65,2253,2365.65,12-11-2018,Cash,5.8
East,Ooty,Member,Female,Food Grains,699.0,2,69.9,1398,1467.9,1/16/2015,Cash,5.4
East,Cumbum,Normal,Male,Oil & Masala,192.56,9,86.65,1733,1819.65,03-02-2015,Credit card,6.5
East,Chennai,Normal,Male,Bakery,810.67,3,121.6,2432,2553.6,04-09-2018,Cash,5.4
East,Namakkal,Member,Female,Fruits & Veggies,1026.0,2,102.6,2052,2154.6,05-03-2017,Cash,8.0
Central,Karur,Normal,Male,Fruits & Veggies,226.0,8,90.4,1808,1898.4,4/16/2016,Ewallet,9.0
Central,Coimbatore,Member,Male,Beverages,157.83,6,47.35,947,994.35,09-01-2017,Ewallet,8.0
South,Virudhunagar,Normal,Female,Food Grains,100.67,6,30.2,604,634.2,04-12-2017,Ewallet,8.9
West,Pudukottai,Member,Female,"Eggs, Meat & Fish",169.43,7,59.3,1186,1245.3,09-12-2017,Ewallet,6.4
West,Vellore,Normal,Female,Bakery,93.29,7,32.65,653,685.65,11-10-2015,Ewallet,4.9
East,Tenkasi,Normal,Female,Snacks,371.0,6,111.3,2226,2337.3,7/27/2015,Ewallet,8.4
West,Cumbum,Normal,Male,Food Grains,228.0,4,45.6,912,957.6,4/13/2016,Ewallet,6.2
West,Madurai,Normal,Male,"Eggs, Meat & Fish",86.56,9,38.95,779,817.95,8/21/2017,Credit card,8.0
South,Pudukottai,Member,Female,Fruits & Veggies,229.33,6,68.8,1376,1444.8,7/16/2017,Credit card,5.6
South,Cumbum,Normal,Female,Oil & Masala,594.0,4,118.8,2376,2494.8,02-05-2017,Credit card,4.5
Central,Coimbatore,Normal,Male,Beverages,509.0,3,76.35,1527,1603.35,8/29/2017,Credit card,10.0
South,Kanyakumari,Normal,Female,Snacks,553.25,4,110.65,2213,2323.65,12/30/2017,Ewallet,4.9
East,Tenkasi,Member,Male,Bakery,792.33,3,118.85,2377,2495.85,4/16/2016,Credit card,9.9
Central,Tenkasi,Normal,Female,Snacks,1045.0,2,104.5,2090,2194.5,11/19/2018,Ewallet,9.9
Central,Ooty,Normal,Male,Fruits & Veggies,250.0,5,62.5,1250,1312.5,12-09-2018,Credit card,8.8
West,Dindigul,Normal,Male,Beverages,757.0,2,75.7,1514,1589.7,08-10-2016,Cash,8.0
West,Ramanadhapuram,Member,Male,Fruits & Veggies,292.83,6,87.85,1757,1844.85,2/13/2018,Credit card,7.5
East,Cumbum,Normal,Male,Beverages,324.0,3,48.6,972,1020.6,06-01-2018,Credit card,9.2
West,Kanyakumari,Member,Male,Food Grains,265.5,6,79.65,1593,1672.65,06-11-2017,Ewallet,5.7
South,Dindigul,Normal,Female,Bakery,171.78,9,77.3,1546,1623.3,03-09-2016,Credit card,6.8
East,Krishnagiri,Member,Female,Food Grains,1863.0,1,93.15,1863,1956.15,5/31/2016,Cash,7.7
Central,Namakkal,Normal,Female,"Eggs, Meat & Fish",266.0,6,79.8,1596,1675.8,10/29/2015,Ewallet,6.5
West,Chennai,Normal,Female,Snacks,218.44,9,98.3,1966,2064.3,9/19/2018,Ewallet,6.6
Central,Nagercoil,Member,Male,Snacks,268.25,4,53.65,1073,1126.65,9/18/2018,Credit card,6.0
West,Virudhunagar,Normal,Male,Beverages,1133.0,2,113.3,2266,2379.3,12/26/2017,Ewallet,7.4
West,Madurai,Member,Female,"Eggs, Meat & Fish",419.25,4,83.85,1677,1760.85,3/28/2017,Ewallet,9.1
East,Pudukottai,Normal,Male,Fruits & Veggies,1113.0,1,55.65,1113,1168.65,07-08-2018,Ewallet,5.2
West,Salem,Normal,Female,Bakery,362.67,3,54.4,1088,1142.4,12-11-2017,Ewallet,9.6
West,Tirunelveli,Normal,Male,Fruits & Veggies,211.67,9,95.25,1905,2000.25,08-01-2018,Ewallet,8.1
Central,Ramanadhapuram,Normal,Female,Food Grains,327.8,5,81.95,1639,1720.95,3/13/2018,Ewallet,8.9
West,Madurai,Normal,Male,Beverages,133.5,6,40.05,801,841.05,6/28/2016,Cash,7.3
South,Ooty,Member,Female,Food Grains,176.0,3,26.4,528,554.4,8/27/2015,Credit card,8.7
West,Salem,Member,Female,Snacks,375.0,5,93.75,1875,1968.75,12/18/2018,Cash,4.1
East,Krishnagiri,Normal,Female,Oil & Masala,99.38,8,39.75,795,834.75,3/31/2017,Ewallet,8.9
West,Tenkasi,Normal,Male,Beverages,88.83,6,26.65,533,559.65,12-12-2016,Ewallet,4.2
Central,Theni,Normal,Female,Beverages,530.0,4,106.0,2120,2226.0,1/29/2018,Credit card,9.3
South,Dharmapuri,Normal,Female,Fruits & Veggies,448.0,2,44.8,896,940.8,10-11-2016,Cash,10.0
West,Theni,Member,Female,"Eggs, Meat & Fish",58.33,9,26.25,525,551.25,4/24/2017,Credit card,5.8
West,Pudukottai,Normal,Female,Snacks,1150.0,1,57.5,1150,1207.5,9/28/2016,Cash,5.3
East,Trichy,Member,Female,"Eggs, Meat & Fish",1065.0,1,53.25,1065,1118.25,6/21/2015,Ewallet,8.6
West,Kanyakumari,Normal,Male,"Eggs, Meat & Fish",317.0,4,63.4,1268,1331.4,5/25/2016,Credit card,5.5
West,Nagercoil,Member,Female,Food Grains,93.43,7,32.7,654,686.7,7/17/2018,Credit card,9.2
South,Theni,Member,Female,"Eggs, Meat & Fish",1747.0,1,87.35,1747,1834.35,01-06-2018,Ewallet,4.6
East,Chennai,Member,Female,Food Grains,138.22,9,62.2,1244,1306.2,11/20/2017,Credit card,4.8
Central,Bodi,Member,Male,Fruits & Veggies,402.0,4,80.4,1608,1688.4,8/28/2016,Cash,9.9
East,Virudhunagar,Normal,Male,"Eggs, Meat & Fish",730.0,3,109.5,2190,2299.5,12-06-2016,Cash,8.0
West,Nagercoil,Member,Female,Snacks,746.0,1,37.3,746,783.3,07-11-2016,Cash,9.1
West,Kanyakumari,Member,Female,"Eggs, Meat & Fish",585.25,4,117.05,2341,2458.05,5/15/2018,Cash,5.9
Central,Virudhunagar,Member,Male,Snacks,222.22,9,100.0,2000,2100.0,1/19/2016,Ewallet,8.1
West,Kanyakumari,Member,Female,Beverages,346.33,6,103.9,2078,2181.9,11-11-2015,Credit card,7.6
East,Theni,Member,Male,"Eggs, Meat & Fish",260.83,6,78.25,1565,1643.25,07-09-2016,Cash,7.6
East,Nagercoil,Member,Male,Bakery,2109.0,1,105.45,2109,2214.45,08-09-2016,Ewallet,8.1
